Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,SESSION_ID,STUDY_ID,preview,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order,exp_duration
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,116,3.5,1,[],[],267.2,-157.5,2,5099,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,110,3.5,1,[],[],317.3,59.5,12.5,4183,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,100,3.5,0,[],[],317.3,-248.5,5.5,5033,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,300,-200,0,90,3.5,1,[],[],384.1,-157.5,-12,4433,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,400,-300,0,62,3.5,0,[],[],350.7,-185.5,-5,4134,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,123,3.5,0,[],[],367.4,-210,26.5,5319,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,-100,0,84,3.5,1,[],[],267.2,-66.5,26.5,3733,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,100,3.5,0,[],[],467.6,-192.5,2,4849,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,200,100,0,123,3.5,1,[],[],267.2,59.5,16,4300,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,pilot,pilot,pilot,2020-07-21_11h56.06.445,AvatarAutomaticProl,3.2.2,Win32,60,5ece8cfa82da1226f61236a9,0gsv6sqqsq1l,5ed63a3014c6a30406ed132a,1,,500,-400,0,88,3.5,0,[],[],317.3,-224,-5,4667,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
