Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,-300,0,117,3.5,0,[],[],617.9,-171.5,-5,6075,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,100,0,111,3.5,1,[],[],450.9,56,-5,4420,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,100,0,147,3.5,1,[],[],283.9,59.5,16,4828,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,300,-200,0,72,3.5,1,[],[],283.9,-157.5,2,5239,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,-100,0,88,3.5,1,[],[],350.7,-63,-22.5,4323,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,-100,0,82,3.5,1,[],[],300.6,-56,-1.5,5322,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,200,100,0,124,3.5,1,[],[],300.6,59.5,16,5511,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,-300,0,150,3.5,1,[],[],267.2,-259,12.5,6047,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,500,400,0,147,3.5,0,[],[],183.7,287,9,7825,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,500,-400,0,131,3.5,0,[],[],367.4,-259,19.5,5956,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,400,-300,0,70,3.5,0,[],[],551.1,-203,2,8180,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,please enter your prolific ID here5eab3ab6f32e3b10405dafeb,27,female,2020-07-27_17h59.53.124,AvatarAutomaticProl,3.2.2,Win32,60,5eab3ab6f32e3b10405dafeb,5f1b026ff9f4e82811599350,5f1eebc516ec4204c93f741f,,300,-200,0,73,3.5,1,[],[],334,-157.5,-1.5,5403,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
