Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order,Decision_Delta,Decision_xposTarget,Decision_yposTarget,Decision_SpeedCond,Decision_AvSpeed,Decision_delay,Decision_targetSide,Decision_placement,Decision_initplace,Decision_Driving,Decision_Click,Decision_RTms,Decision_finalX,Decision_finalY,Decision_success,DecisionTrialLoop.thisRepN,DecisionTrialLoop.thisTrialN,DecisionTrialLoop.thisN,DecisionTrialLoop.thisIndex,DecisionTrialLoop.ran,DecisionTrialLoop.order,Confidence_Delta,Confidence_resp,ConfidenceLoop.thisRepN,ConfidenceLoop.thisTrialN,ConfidenceLoop.thisN,ConfidenceLoop.thisIndex,ConfidenceLoop.ran,ConfidenceLoop.order
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,-100,0,111,3.5,1,[],[],283.9,-59.5,12.5,4131,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,400,300,0,120,3.5,0,[],[],367.4,136.5,-12,5489,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,100,0,139,3.5,1,[],[],517.7,56,-8.5,5201,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,200,100,0,114,3.5,1,[],[],183.7,63,-22.5,5267,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,400,-300,0,77,3.5,1,[],[],183.7,-259,12.5,4830,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,-400,0,83,3.5,0,[],[],300.6,-238,2,5283,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,-200,0,109,3.5,1,[],[],450.9,-157.5,5.5,5590,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,300,-200,0,73,3.5,1,[],[],434.2,-157.5,9,6194,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,500,-400,0,70,3.5,0,[],[],300.6,-269.5,19.5,7230,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5bf9157e8e9c9d000109f674,25,male,2020-07-27_18h00.12.910,AvatarAutomaticProl,3.2.2,Win32,60,5bf9157e8e9c9d000109f674,5f1b026ff9f4e82811599350,5f1eebd7074ce305eed6edf4,,400,300,0,148,3.5,0,[],[],400.8,206.5,-5,6621,1,0,1,0,1,0,48,0,48,0,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
