Browser,true_x_res,true_y_res,x_adjustment,y_adjustment,Params_TravelTime,Params_yOffset,Params_Reach,Params_ScreenWidth,Params_ScreenHeight,Params_Hz,Params_HzScale,Params_conf_linewidth,params_consent,ConsentLoop.thisRepN,ConsentLoop.thisTrialN,ConsentLoop.thisN,ConsentLoop.thisIndex,ConsentLoop.ran,ConsentLoop.order,participant,Age,Gender,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,Demo_speedCond,Demo_delta,Demo_xposTarget,Demo_yposTarget,Demo_Delay,Demo_AvSpeed,Demo_Success,Demo_motion,Demo_Click,Demo_RTms,Demo_finalX,Demo_finalY,Trial_duration,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,BlockLoop.ran,BlockLoop.order,DemoLoop.thisRepN,DemoLoop.thisTrialN,DemoLoop.thisN,DemoLoop.thisIndex,DemoLoop.ran,DemoLoop.order
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,300,0,99,3.5,0,[],[],350.7,241.5,5.5,5200,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,-100,0,122,3.5,1,[],[],250.5,-56,-5,4680,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,200,0,109,3.5,1,[],[],317.3,157.5,-5,5640,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,400,-300,0,129,3.5,0,[],[],367.4,-199.5,-5,5837,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,200,0,119,3.5,1,[],[],350.7,157.5,-8.5,5833,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,-200,0,147,3.5,1,[],[],350.7,-157.5,-12,5636,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,-200,0,90,3.5,1,[],[],283.9,-161,16,4849,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,300,200,0,97,3.5,1,[],[],417.5,161,16,5191,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,500,-400,0,112,3.5,0,[],[],367.4,-238,2,5640,1,0,1,0,1,0,48,0,48,0,1,47
,,,,,,,,,,,,,,,,,,,,5c08450f5b32d500012e371bplease enter your prolific ID here,25,female,2020-07-27_13h48.12.610,AvatarAutomaticProl,3.2.2,Win32,60,5c08450f5b32d500012e371b,5f1b026ff9f4e82811599350,5f1eb0c3a4270b000ac38ddb,,200,100,0,120,3.5,1,[],[],350.7,56,-8.5,5170,1,0,1,0,1,0,48,0,48,0,1,47
